simName L N taskNumber cpuTotaltime avgWorkload avgMemoryLoad avgPartPerSec 
L50_N128_2 L50 N128 2 24756.59 1.24405 1.07901 20640.7
L50_N128_4 L50 N128 4 13141.95 1.53753 1.11045 17578.2
L50_N128_8 L50 N128 8 7366.66 1.80768 1.20313 15168
L50_N128_16 L50 N128 16 4459.26 2.73495 1.42035 10999.9
L50_N128_32 L50 N128 32 2948.46 3.61395 1.79756 8628.42
L50_N32_2 L50 N32 2 170.12 1.21648 1.22766 60707.4
L50_N32_4 L50 N32 4 97.09 1.4441 1.29789 53189.3
L50_N32_8 L50 N32 8 60.56 1.71607 1.42017 43223
L50_N32_16 L50 N32 16 51.47 2.46588 1.67001 33985.1
L50_N32_32 L50 N32 32 142.07 3.45732 2.29817 24924.2
L50_N64_2 L50 N64 2 1597.51 1.18763 1.11802 34099.1
L50_N64_4 L50 N64 4 864.36 1.37286 1.137 29044.9
L50_N64_8 L50 N64 8 496.64 1.59378 1.26537 25039
L50_N64_16 L50 N64 16 313.24 2.10813 1.45876 19119.9
L50_N64_32 L50 N64 32 326.98 2.84492 1.89633 14612.1
